sno,created_at,screen_name,Sentiment,Sentiment confidence,tweet
0,Thu Nov 09 13:07:08 +0000 2017,SissiBellomo,Fake,Fake,RT @AzizSapphire: Exclusive: Venezuela's PDVSA misses debt payments to India's top oil producer | Article [AMP] | Reuters \u2026
1,Thu Nov 09 13:06:12 +0000 2017,InvestingLatest,Fake,Fake,ReutersBiz: Exclusive: Venezuela's PDVSA misses debt payments to India's top oil producer  
2,Thu Nov 09 13:04:19 +0000 2017,AzizSapphire,Fake,Fake,Exclusive: Venezuela's PDVSA misses debt payments to India's top oil producer | Article [AMP] | Reuters 
3,Thu Nov 09 13:04:17 +0000 2017,lara_bolivar,Fake,Fake,"RT @ReutersVzla: Venezuela's PDVSA misses debt payments, used Russian bank to pay ONGC I  "
4,Thu Nov 09 13:03:24 +0000 2017,rks196,Fake,Fake,RT @ONGC_: Major benefits of Under Balanced Drilling (UBD) technology implemented by #ONGC\n\n@dpradhanbjp @pallab_ongc @CMD_ONGC @PetroleumM\u2026
5,Thu Nov 09 13:02:08 +0000 2017,Wtiger50,Fake,Fake,"RT @ReutersVzla: Venezuela's PDVSA misses debt payments, used Russian bank to pay ONGC I  "
6,Thu Nov 09 13:01:32 +0000 2017,rks196,Fake,Fake,RT @ONGC_: Lime- CL-CLS based drilling fluid was successfully field implemented at Silchar in December 2016\n#ONGC\n\n@dpradhanbjp @pallab_ong\u2026
7,Thu Nov 09 13:00:47 +0000 2017,nimorubenchiwa,Fake,Fake,ReutersBiz: Exclusive: Venezuela's PDVSA misses debt payments to India's top oil producer  
8,Thu Nov 09 13:00:24 +0000 2017,fmonaldi,Fake,Fake,"RT @ReutersVzla: Venezuela's PDVSA misses debt payments, used Russian bank to pay ONGC I  "
9,Thu Nov 09 12:57:23 +0000 2017,newsmno,Fake,Fake,"EXCLUSIVE-Venezuela's PDVSA misses debt payments, used Russian bank to pay ONGC -sources:  via @YouTube"
